PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
2944,OXFORD MEDICAL CENTRE (ABU DHABI),"Behind Emirates General Market, Muroor Road, - ",009712 - 4489666
2979,RUWAIS HOUSING MEDICAL CENTRE (ABU DHABI), - ,009712 - 6022444
2980,HABSHAN CLINIC (ABU DHABI), - ,009712 6038331
2981,DABBAYIA CLINIC (ABU DHABI), - ,009712 - 6046789
2982,ASAB CLINIC (ABUDHABI), - ,009712 - 6034222
2983,BUHASA CLINIC (ABU DHABI), - ,009712 - 6035269
2984,JABEL DHANA CLINIC (ABUDHABI), - ,009712 - 6022444
2985,SHAH CLINIC  (ABUDHABI), - ,009712 - 6044200
2986,SAHEL CLINIC (ABU DHABI),"Madinat Zayed City, Western Region - ",009712 - 6049901
2988,AL MADINA MEDICAL CENTRE SPL (ABUDHABI),"Ahmed Khalifa Al Mazraiq Bldg, Beside Immigration Bridge, Airport Road, - ",009712 - 6439779
3010,NMC ROYAL FAMILY MEDICAL CENTRE (ABU DHABI),"Prestige Tower,Near Capital Mall, - ",009712 -  6911500
3107,CLINICA JOELLE CENTRE LLC (ABUDHABI),"Villa #B-05, Marina Office Park,Marina Village, Beside Marina Mall, Marina Area, - ",009712 - 6666988
3108,IBN SINA MEDICAL CENTER (ABU DHABI),"New Al Manara Pharmacy Bldg., Zayed 2nd St., Khalidiya, Abu Dhabi - ",009712 6816400
3109,AL NOOR AL SALAM LIVING CITY(ABU DHABI),"Al salam Living City, Hameem. Clinic Building, Ground Floor - ",009712 5852347
3147,NEW NATIONAL MEDICAL CENTRE - L L C - BRANCH 1 (ABU DHABI),"Building No 27, Al Madinah Al Sinaiyah 2nd Street, - Near Coca Cola Factory",+971 25593777
3159,MEDICLINIC HOSPITALS - BANIYAS CLINICS (ABU DHABI),"Arabian Gulf St   30th St, Al Khaleej Al Arabi Street - ",009712 - 5668800
3160,MEDSTAR ICAD MEDICAL CENTER LLC (ABU DHABI),"ICAD Residential City, Sahab zone, near Gate 3, Mussafah, Abu Dhabi, UAE - ",8007400
3289,MESK ALMADINA MEDICAL�CENTER LLC(ABUDHABI),"Icad M40 Plot96 Mussafah, Abu Dhabi - ",009712 - 5504333
3393,APOLLO MEDICAL CENTRE LLC BR 1 (ABUDHABI),"Mezzanine floor, Building #C117, ME9, Shabia Musaffa, Abu Dhabi. - ",009712 -  5559495
3414,FIRST GLOBAL CLINIC-SOLE PROPRIETORSHIP LLC (ABU DHABI),"Opposite Of BMW Showroom, Zayed The 1st St., Khalidiya, Abu Dhabi - ",02-6650015
3436,AMERICAN CRESCENT HEALTH CARE (ABUDHABI),"Khalidyah, opposite Grand Store Bin Haai Building. Zayed I Street #7 - ",009712 - 6325000
3452,AL KAMAL MEDICAL POLYCLINIC (ABUDHABI),"Jeenain Mall, Ground Floor, Near Sheraton Hotel,Khalidiya - ",009712 -  6651464
3476,CANADIAN MEDICAL AND REHABILITATION CENTER (ABU DHABI),"Beside Yasmeena School,12TH Street, No:9, Khalifa City A, - ",009712 - 5571750
3478,MEDICLINIC HOSPITALS - MARAWAH CLINICS (ABU DHABI),"Village 1 Braka Nuclear Power Plant, Western Region Ruwais, Abu Dhabi UAE - Sila, Western Region",009712 - 8092100
3527,MEDICLINIC HOSPITAL LLC (AL AIN BRANCH HOSPITAL) FERTILIZATION CENTER (ABU DHABI),IVF Facility is within Al Noor Hospital Khalifa Campus - ,009712 - 6139540
3542,AL QABAIL MEDICAL CENTRE LLC (ABU DHABI),ICAD Road Musaffah - ,009712 -  5575531
3590,ANSARI MEDICAL CENTRE (ABUDHABI),"Office #205, Sheikh Mohammed Butta Hamid Bldg, Near Old Fish Market,Al Nasr Street, - ",009712 - 6394139
3737,CANADIAN MEDICAL CENTRE LLC (ABU DHABI),"Villa #1, Corner Delma Street,Airport Road, - ",009712 - 4469006
3738,CANADIAN MEDICAL COSMETIC CENTER (ABU DHABI),Mohammed Binzayed  city Beside Mazyad mall - ,009712 - 5523224
3739,BEAUTY TRICK MEDICAL CENTRE (ABU DHABI),"Villa #1, Next to Cosmesurge Emirates Hospital, 2 Karama Street, - ",009712 - 6422771
3775,TALAT MEDICAL CENTRE LLC (ABU DHABI),"Shakhbout City-Al Fala Street, Abu Dhabi - ",026777709
3776,TALAT MEDICAL NEW AL MUSAFAH (ABU DHABI),"Near Texas Gift  centre , Shabiya Khalifa Sector - 12 , Musafah - ",009712 - 5527100
3779,AMWAJ  MEDICAL CENTRE (ABU DHABI),"2nd Floor, Flat #201, Subway Restaurant Bldg.Khalifa  Street, - ",009712 - 6273888
3780,ABU SALMAN MEDICAL CENTRE (ABU DHABI),"Ground Floor, Bldg. #329,Behind Junaild Pharmacy, Shabiya Khalifa, Mussafah ME-10, - ",009712 - 5522549
3781,EMIRATES JORDANIAN MEDICAL CENTER (ABU DHABI),Baniyas near Baniyas Court - ,009712 - 5836999
3807,AL NASEEM CLINIC  (ABU DHABI),"1st Floor, Flat #102,Same Bldg of Dawn Pharmacy,  Behind Liwa Center,Hamdan Street, - ",009712 - 6342834
3809,AL RAYYAN MEDICAL CENTRE (ABU DHABI),"Bld No-Plot C6, 25th Street, Shabiya-11, Same Building Of Diamond Star Jewellary, Mussafah - ",009712 - 5517190
3920,HALA MEDICAL CENTRE (ABU DHABI),"1st Floor, Saif Rashid Bldg, Near UAE Exchange, Ghayathy - Ghayathi, Western Region",009712 - 8742437
3931,HEALTH PLUS WOMENS HEALTH CENTER(ABUDHABI),Hazaa Bin Zayed The First St (11th ST) - ,009712 6433494
3932,HEALTH PLUS FAMILY HEALTH CENTER (ABU DHABI),Al Bandar Al Raha - ,0097126433494
3933,DANAT AL EMARAT CLINIC FOR WOMEN & CHILDREN LLC(ABU DHABI),Al Khaleej Al Arabi St - ,009712 6433494/02 658 2221
3934,HEALTH PLUS DIABETES & ENDOC  (ABU DHABI),Sheikh Sultan Bin Zayed Street (32nd st) - ,0097126433494
3935,HEALTH PLUS FERTILITY CENTER(ABU DHABI),Hazaa Bin Zayed The First St (11th ST) - ,009712 6433494
3950,OCCUMED CLINIC LLC(ABU DHABI),GLOBAL ASCENT BUS. CENTER MUSSAFAH INDUST. AREA FLAT NO.15 - ,02-5134000
3960,DR.GUPTA MEDICAL CENTER LLC (ABU DHABI),"110 Office 1st Flr. Electra Street, Km Trading Bldg. Near Lifeline Hospital, Abu Dhabi - ",02-6337357
3993,ASTER MEDICAL CENTRE LLC BR 1(ABU DHABI),"PARAGON MALL-MARINA SQUARE,GROUND FL,UNIT #26-G01 + G02,AL REEM ISLAND,NEAR GEANT MARKET - ",02 650 1711
4028,BURJEEL MEDICAL CENTRE YAS MALL LLC (ABU DHABI),"Yas, South, C3 - 1st floor, stor 50+51, House Estate, Yas Mall Bldg - ",00971 2 2054505
4033,BURJEEL MEDICAL CENTRE AL ZEINA LLC (ABU DHABI),"RETAIL B1 ,AL ZEINA APPARTMENTS RETAIL SECTION - ",02-2054306
4358,GOLDEN TULIP MEDICAL CENTRE (ABUDHABI),Next to Pharmalink bldg.M17 Shaniya  Musaffah Industrial - ,971 2 5556608
4368,IBN KHALDOUN MEDICAL SPECIALITY CENTER LLC (ABUDHABI),"VILLA 53, NAJDA ST.,BEHIND ADIB, ABU DHABI - ",02 633 55 56
4411,GOLDEN CHOICE MEDICAL CENTER (ABUDHABI),"M-17, Near Shati Al Madina Supermarket, Musaffah Sanaya, Abu Dhabi, UAE - ",02-4486266
4453,EUPHORIA MEDICAL CENTRE LLC (ABUDHABI),"Airport Road, Al Bateen Executive Airport Area Villa 43, Abu Dhabi - ",026424400
4579,TOUCH OF HEALTH MEDICAL POLYCLINIC(AL AIN),"Muwaiji 2 Al Ain , United Arab Emirates - ",0097137661199
4608,MEDICLINIC - KHALIFA CITY LLC (ABU DHABI),"#284 Villa, Near Police Station Khalifa City A, Abu Dhabi - ",+97128856700
4750,EMERALD MEDICAL CENTRE LLC(ABUDHABI),"16th Street, Near Fesh and More Supermarket, Mussafa 37, Abu Dhabi - ",025554164
4771,ALAFIA GHYATHI MEDICAL CENTRE LLC (ABU DHABI),"Industrial Area Sector-18, Gayathi Saniya 2, Opp. Main, Abu Dhabi Mosque - Ghayathi, Western Region",02 8740133
4774,RIGHT CHOICE MEDICAL CENTER (ABUDHABI),"Musaffah Sanayia M 10 Near Alya Hypermarket and LAL Market, Abu Dhabi - ",024917600
4879,GENET MEDICAL CENTER LLC (ABU DHABI),"Junaibi Tower, 2nd Floor, Muroor Road, Opposite Emirates Discount Market, Abu Dhabi, U.A.E - ",02 666 9945
4945,DELMA MEDICAL CENTER (ABUDHABI),"Delma Street,Al Nahyan Camp,Villa 71, Abu Dhabi, UAE - ",024481800
5043,HEALTH TIME MEDICAL CENTRE(ABUDHABI),"Bldg. 08 1st Floor Plot F2C4-8 Al Mafraq Industrial 2 (China Camp), Baniyas West,Abu Dhabi - ",0097125554006
5046,PROVIDENCE INTERNATIONAL MEDICAL & COSMETIC CENTER LLC(ABUDHABI),"Shop#04&05 Ground Floor,Maryam Abdalla Mehmood Building. Musaffah 38, Abu Dhabi - ",02-4454867
5047,KIDS HEART MEDICAL CENTER LLC(ABU DHABI),"Al Karamaha Street Corner Delma Street Villa 54, Abu Dhabi City, Near Liwa Village - ",02-445-88-81
5048,CITY CLINIC (ABU DHABI),"Al Falah Street Near Habib Bank Ag Zurich, Abu Dhabi - ",009712641722
5057,LAKESHORE MEDICAL CENTER LLC(ABU DHABI),"Mina Road, Beside Sedar Building ,Future Pharmacy Building , 1st Floor , Al Zahiya ,Tc Area Abu Dhabi - ",02-6660351
5119,WESTMINSTER MEDICAL CENTRE(ABUDHABI),"Flat M-03, C82 Building, Shabiya 9, Street 28, Mohammad Bin Zayed City, Abu Dhabi - ",02-6227169
5192,BURJEEL OASIS MEDICAL CENTRE LLC(ABU DHABI),"Abu Dhabi ,Aldhafra Region, Madinat Zayed, Main Street - Madinat Zayed City, Western Region",+971 2 894 6666
5211,GOLDEN CURE MEDICAL CENTRE LLC(ABU DHABI),"Golden Cure Medical Centre,Shabiya ME/11,Mussaffah,Abu Dhabi - ",02-6270890
5275,HOPE MEDICAL CENTER LLC(ABU DHABI),"GCC New Office Building, Plot No:384 / Building 46, Abu Dhabi - ",02 5551430
5286,MARIAM MEDICAL CENTER(ABU DHABI),"Shop No.2b, F2C4-1, Magenta Pearl Village, Mafraq Industrial 2(China Camp) Baniyas Abu Dhabi - ",02 6214626
5359,FAMOUS MEDICAL CENTRE L.L.C (ABU DHABI),"MUSSAFAH M-10, INDUSTRIAL AREA, BUILDING NO;48, GROUND FLOOR NEAR LAL MARKET - ",02 5551866
5390,EXPRESS GHAYATHI CLINIC (ABU DHABI),"EXPRESS GHAYATHI HYPERMARKET BUILDING, NEAR UAE EXCHANGE, SANAYYA WESTERN REGION OF ABU DHABI - Ghayathi, Western Region",02 8744430
5400,KLINIKA MAHARLIKA - BRANCH OF ABU DHABI 1(ABUDHABI),"AL SAIF TOWER, ZAYED FIRST STREET (ELECTRA) ABU DHABI - ",00971-2-6310209
5422,IBN SINA MEDICAL CENTRE - BRANCH 1(ABU DHABI),"Al Reef Downtown, Sheikh Tahmoun Bin Zayed Bin Sultan, Abu Dhabi - ",02-6739001
5434,PRIME CARE MEDICAL CENTER LLC(ABUDHABI),"MEZZANINE FLOOR, BUILDING NO:C-184,CELEBRITY OPTICS BUILDING,OPPOSITE CALICUT PARAGON RESTAURANT, MUSSAFA SHABIYA 10, ABU DHABI - ",025538188
5452,DFW MEDICAL CENTER LLC (ABU DHABI),"ABU DHABI, AL NAHYAN CAMP - ",02 666 6347
5457,KHALIKHALIFA MEDICAL CENTRE(ABU DHABI),"KHALIFA MOHAMMAD AL HAMELI BUILDING, FLAT 11 AND 16, FIRST FLOOR, AL FALAH STREET, ABU DHABI, UAE - ",97126771400
5458,HOLISTIC MEDICAL CENTRE SOLE PROPRIETORSHIP LLC(ABU DHABI),"VILLA NO. 141, 12TH STREET, OPP. AL FORSAN SPORTS CLUB AND MARRIOTT, P.O. BOX 144577, KHALIFA CITY, ABU DHABI. U.A.E. - ",02-6661567
5461,ELITE STYLE PHYSIOLOGY TREATMENT CENTRE LLC(ABUDHABI),"2301, ADCP TOWER, BEHIND HONDA SHOWROOM, ELECTRA STREET, ABU DHABI, UAE - ",026650034
5463,EXTRA CARE MEDICAL CENTRE LLC(ABU DHABI),6 FATIMA BINT MUBARAK ST - ABU DHABI AL NAJDA STREET - ,02 6344922
5512,AL QADI MEDICAL CENTER LLC(ABU DHABI),"St. 30, Zone 2, Sector 78, Al Khaleej Al Arabi St. New Al Maharbah Area, P.O. Box 468, Abu Dhabi - ",+ 971 2 4437777
5516,DAAR AL MISBAH MEDICAL CENTER LLC(ABU DHABI),"PLOT NUMBER 20, ROOM 1,2 & 3, M-11,SANAYA, MUSSAFAH, ABU DHABI - ",02-6213119
5521,CANADIAN MEDICAL CENTER LLC BRANCH 2(ABU DHABI),"P O Box:44954, INSIDE ABUDHABI UNIVERSITY CAMPUS, ABU DHABI - ",97125551231
5545,AL ITTIHAD MEDICAL CENTRE LLC(ABU DHABI),"012 1ST FLOOR BUILDING NO 401 ABOVE BANK SADERAT IRAN HAMDAN STREET, ABU DHABI, UAE - ",02 6226611
5613,BERLIN MEDICAL AND NEUROLOGICAL REHABILITATION LLC(ABU DHABI),"VILLA# 26, YAREERAH STREET, AL NEHYAM CAMP, ABU DHABI - ",0971 2 305 7000
5618,EMIRATES DERMATOLOGY AND COSMETOLOGY CENTER(ABU DHABI),"BUILDING NO.836, STREET 30, ZONE 2, SECTOR 78, AL KHALEEJ AL ARABI STREET (NEW MAHARBAH AREA) ABU DHABI - ",025555255
5628,MEDICAL SPECIALITY CENTRE LLC(ABU DHABI),"KHALIDHIYA, ZAYED FIRST STREET OPP. GRAND STORE, YATEEM OPTICAL BUILDING, ABU DHABI - ",026336325
5661,ADVANCED CURE DIAGNOSTIC CENTER LLC BRANCH 2(ABU DHABI),"AL KHALEEJ AL ARABI STREET, ABU DHABI, UAE - ",02 4100900
5662,CHARISMA MEDICAL CENTER LLC(ABU DHABI),ABU DHABI - HAMDAN ST -ZIANI AREA - BEHIND EMIRATES TOWER NEAR RUSSIAN EMBASSY - ,026775775
5666,BOULEVARD MEDICAL CENTER(ABU DHABI),"DEERFEILDS MALL, AL BAHIA, ABU DHABI - ",02 5850858
5667,DR.RASHED ALSHAEEL MEDICAL CENTER(ABU DHABI),"KHALIFA CITY-OPPOSITE OF AL FORSAN, ABU DHABI - ",00971(2) 449-3733
5692,DUO PRIME CARE MEDICAL CENTER LLC(ABU DHABI),"B628-9, NEAR EMIRATES IDENTITY AUTHORITY, MUSSAFA M4, SANAYA, ABU DHABI - ",02-5554339
5701,ACACIA MEDICAL CENTER (ABU DHABI),"VILLA NO. 15 AL KARAMAH AREA, OPP. END OF UNIVERSAL HOSPITAL, ABU DHABI - ",024445513
5703,LLH MEDICAL CENTRE AL MUSAFFAH LLC BRANCH 1(ABU DHABI),"LABOTIL CAMP, CL-1-9-BG-002 MAFRAQ INDUSTRY, BANIYAS, ABU DHABI - ",02-5856333
5704,LLH MEDICAL CENTRE AL MUSAFFAH LLC BRANCH 3(ABU DHABI),"M40 , KM TRADING BUILDING , ICAD, MUSAFFAH, ABU DHABI - ",+971-2-4116450
5724,STANFORD MEDICAL CENTRE (ABU DHABI),"Villa 438, Al Khaleej AL Arabi Streer, 10 Bur Al Yirab St, Al Bateen - ",+971 27775777
5725,GOLDEN SANDS MEDICAL CENTRE LLC(ABU DHABI),"AL FALAH STREET, JUMMA EID ALMERAIKHI BUILDING, ABOVE SANDS PHARMACY, ABU DHABI - ",02 6427171
5770,INDUS MEDICAL CENTRE LLC(ABU DHABI),"Near Punjab Flower Restaurant & Parco Hypermarket China Camp, Workers Village 2 Marafq Abu Dhabi - ",02-5851800
5818,BRITISH NEUROLOGY PSYCHIATRY CENTER(ABU DHABI),"Villa No 2, Al Muntazah, Airport Road, Abu Dhabi - ",02 444 2285
5872,QUALITY CARE MEDICAL CENTRE LLC(ABU DHABI),"Old emirates Islamic Bank bilding, Liwa Street, Cornich Road, Near Department of Finance, Abu Dhabi - ",+971 262 60 600
5956,LONDON CONSULTING MEDICAL CENTER LLC(ABU DHABI),"Khalifa Bin Shakbut Street ,Vila 253, Al Zaab-Manaseer Area, Near Khalidya Police Station, Abu Dhabi - ",02 6261661
6069,TIME CURE MEDICAL CENTRE(ABU DHABI),"Plot No 15, Sanaiya M36, Opp Cars Taxi Head Office, Musaffah, Abu Dhabi - ",02-5508998
6139,NMC ROYAL MEDICAL CENTRE LLC BRANCH SHAHAMA(ABU DHABI),"C 170, Opposite Deerfields Mall, Shahama, UAE - ",02 885 9400
6141,NMC ROYAL MEDICAL CENTER LLC AL KARAMA BRANCH(ABU DHABI),"International Community School, Abu Dhabi, UAE - ",02 614 4900
6143,IBN NAFEES MEDICAL CENTER BRANCH 1(ABU DHABI),"Villa No: 94, 16th Street, Khalifa Cilty A, Abu Dhabi, UAE - ",+971 2 5553800
6144,CORNICHE GATE MEDICAL CENTER- SOLE PROPRIETORSHIP LLC(ABU DHABI),"Villa 110, Bin Louteya, Al Naser St. Opposite Khalidiya Family Park, Abu Dhabi, UAE - ",024488442
6162,NATURAL HEALTH MEDICAL CENTER LLC(ABU DHABI),"P O BOX NO: 112578, Z1 Mohammed Bin Zayed City, Abu Dhabi - ",026661370
6191,KHYBER POLYCLINIC (ABU DHABI),"Villa 24, Murror Road,Abu Dhabi - ",026426477
6301,NOVOMED CENTERS LLC -BRANCH OF ABU DHABI 2(ABU DHABI),"King Abdullah Bin Abdulaziz Al Saud Street, Al Bateen, Abu Dhabi - ",+971 2 2222106
6303,FERTICLINIC FERTILIZATION CENTRE LLC(ABU DHABI),"Villa 99, Theyab Bin Eissa St., Khalifa City-A, Abu Dhabi - ",024441576
6306,WHITE LILY MEDICAL CENTRE(ABU DHABI),"Plot No. C5d 1st Floor Bawabat Al Sharq Mall, Abu Dhabi - ",+971 2 5556388
6307,YOUR DENTAL & MEDICAL CENTER LLC(ABU DHABI),"Southeast 5, Villa 2 - 16th St - Khalifa CitySE-5 -, Near Labelle, Abu Dhabi - ",02-5855999
6315,MEDLINK MEDICAL CENTRE(ABU DHABI),"Near Akther Super Market, Air Port Road, Abu Dhabi - ",02-6783072
6339,KKT ORTHOPEDIC SPINE CENTER LLC (ABU DHABI),"Near American Community School, Al Bateen, Abu Dhabi - ",+971 2681565550
6343,HARMONY MEDICAL CENTER (ABU DHABI,"16th Street, Khalifa City, Abudhabi Opposite Khalifa City Market - ",+97125556244
6393,YAS HEALTHCARE - BRANCH 1 (ABU DHABI),Ground Floor Retail-A Al Falahi Tower Al Mustarhim St Muroor Road Al Sa'adah Area - ,02 3336999
